Date/Time,Wind Speed (m/s),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Direction (°),,,
15 04 2018 15:10,11.39,2916.638916,3392.152379,69.05412292,,,11.39
15 04 2018 15:20,11.35,3020.518066,3381.962957,68.1696701,,,11.35
15 04 2018 15:30,11.23,3004.037109,3347.844002,68.48136902,,,11.23
15 04 2018 15:40,13.31,3591.427002,3600,75.1162796,,,13.31
15 04 2018 15:50,13.01,3591.539063,3600,73.60426331,,,13.01
15 04 2018 16:00,13.4,3595.514893,3600,73.79223633,,,13.4
15 04 2018 16:10,14.46,3604.324951,3600,76.69056702,,,14.46
15 04 2018 16:20,15.46,3603.6521,3600,79.42492676,,,15.46
15 04 2018 16:30,15.05,3561.955078,3600,80.11798096,,,15.05
15 04 2018 16:40,15.14,3597.522949,3600,80.69432068,,,15.14
15 04 2018 16:50,14.97,3597.133057,3600,79.70398712,,,14.97
15 04 2018 17:00,16.19,3603.055908,3600,78.5891037,,,16.19
15 04 2018 17:10,16.55,3604.278076,3600,80.07758331,,,16.55
15 04 2018 17:20,15.87,3604.085938,3600,76.00557709,,,15.87
15 04 2018 17:30,15.72,3604.231934,3600,74.88773346,,,15.72
15 04 2018 17:40,15.22,3602.580078,3600,75.35916138,,,15.22
15 04 2018 17:50,15.19,3603.095947,3600,76.68094635,,,15.19
15 04 2018 18:00,15.2,3603.887939,3600,77.31585693,,,15.2
15 04 2018 18:10,15.38,3600.643066,3600,79.21611023,,,15.38
15 04 2018 18:20,14.95,3603.008057,3600,78.33358002,,,14.95
15 04 2018 18:30,14.09,3531.050049,3600,79.88408661,,,14.09
15 04 2018 18:40,14.99,3604.831055,3600,76.03707123,,,14.99
15 04 2018 18:50,14.95,3588.012939,3600,77.9313736,,,14.95
15 04 2018 19:00,15,3599.39502,3600,76.27101898,,,15
15 04 2018 19:10,14.7,3597.451904,3600,76.45134735,,,14.7
15 04 2018 19:20,15.2,3603.690918,3600,78.14753723,,,15.2
15 04 2018 19:30,15.33,3604.665039,3600,75.92838287,,,15.33
15 04 2018 19:40,15.99,3604.410889,3600,77.21130371,,,15.99
15 04 2018 19:50,16.21,3604.509033,3600,81.84459686,,,16.21
15 04 2018 20:00,14.96,3588.771973,3600,81.48121643,,,14.96
15 04 2018 20:10,15.05,3587.697998,3600,84.59446716,,,15.05
15 04 2018 20:20,13.32,3435.271973,3600,85.32433319,,,13.32
15 04 2018 20:30,11.57,3022.89209,3439.0278,84.25280762,,,11.57
15 04 2018 20:40,12.44,3281.075928,3574.609257,83.79297638,,,12.44
15 04 2018 20:50,10.2,2661.496094,2910.293931,83.97431183,,,10.2
15 04 2018 21:00,10.56,2881.822998,3093.14719,84.1520462,,,10.56
15 04 2018 21:10,13.57,3457.354004,3600,82.69745636,,,13.57
15 04 2018 21:20,13.06,3419.349121,3600,81.18488312,,,13.06
15 04 2018 21:30,11.71,3089.386963,3469.364769,82.51354218,,,11.71
15 04 2018 21:40,11.32,2918.376953,3373.237054,82.61534119,,,11.32
15 04 2018 21:50,13.54,3509.952881,3600,81.85411072,,,13.54
15 04 2018 22:00,13.14,3383.110107,3600,82.7768631,,,13.14
15 04 2018 22:10,12.77,3263.375,3593.79022,82.59126282,,,12.77
15 04 2018 22:20,12.75,3119.398926,3592.994896,82.79685211,,,12.75
15 04 2018 22:30,9.1,2131.301025,2206.508132,88.46494293,,,9.1
15 04 2018 22:40,6.96,1253.827026,997.9548098,91.40103912,,,6.96
15 04 2018 22:50,5.77,747.7042847,550.1306132,97.57549286,,,5.77
15 04 2018 23:00,5.53,601.4603882,477.6880209,103.1865005,,,5.53
15 04 2018 23:10,4.74,435.6209106,274.3385383,90.81131744,,,4.74
15 04 2018 23:20,4.37,298.7055969,194.8103698,93.17883301,,,4.37
15 04 2018 23:30,4.54,290.1980896,229.7499313,99.75105286,,,4.54
15 04 2018 23:40,4.28,239.405304,177.6502709,98.40525818,,,4.28
15 04 2018 23:50,5.03,459.2640991,343.5380929,97.49182892,,,5.03
16 04 2018 00:00,4.77,370.6571045,281.5877188,98.15824127,,,4.77
16 04 2018 00:10,5.3,511.265686,413.1004637,102.5454025,,,5.3
16 04 2018 00:20,5.61,582.7836304,501.4464196,97.81858063,,,5.61
16 04 2018 00:30,5.28,525.7894287,406.7829401,91.86382294,,,5.28
16 04 2018 00:40,4.92,444.1239929,316.3027829,93.86509705,,,4.92
16 04 2018 00:50,4.98,471.7756958,329.8818064,95.47868347,,,4.98
16 04 2018 01:00,5.32,497.3747864,418.9621268,101.0979004,,,5.32
16 04 2018 01:10,5,524.6953125,334.8689208,91.56907654,,,5
16 04 2018 01:20,5.19,609.2755127,384.4160559,95.53307343,,,5.19
16 04 2018 01:30,5.61,759.6516724,500.3085504,88.88773346,,,5.61
16 04 2018 01:40,5.53,712.6469727,476.901565,87.02974701,,,5.53
16 04 2018 01:50,4.91,503.151886,314.405433,90.57945251,,,4.91
16 04 2018 02:00,4.57,401.8164978,236.9837374,87.18792725,,,4.57
16 04 2018 02:10,4.72,471.3233032,269.4552175,85.83582306,,,4.72
16 04 2018 02:20,5.45,467.3963928,455.3490206,85.33350372,,,5.45
16 04 2018 02:30,4.79,405.3526917,285.1418623,81.68647766,,,4.79
16 04 2018 02:40,4.98,434.6452942,331.8310257,78.93389893,,,4.98
16 04 2018 02:50,4.09,237.139801,140.2653883,89.17436218,,,4.09
16 04 2018 03:00,3.87,141.0534058,103.5792422,93.5385437,,,3.87
16 04 2018 03:10,4.54,251.7330017,229.4986884,92.84928131,,,4.54
16 04 2018 03:20,4.31,206.8540039,182.9080771,96.69229889,,,4.31
16 04 2018 03:30,4.44,279.4007874,209.7915458,98.19109344,,,4.44
16 04 2018 03:40,4.52,289.1357117,226.511867,98.82672882,,,4.52
16 04 2018 03:50,4.19,176.3887939,159.4472232,96.4901123,,,4.19
16 04 2018 04:00,4.25,195.8684998,170.0695815,91.23661041,,,4.25
16 04 2018 04:10,4.25,191.0355072,170.0695815,92.89343262,,,4.25
16 04 2018 04:20,4.29,253.8103027,179.7157555,90.66567993,,,4.29
16 04 2018 04:30,4.28,246.366394,176.676317,88.60298157,,,4.28
16 04 2018 04:40,4.07,200.2996979,136.7969163,93.90595245,,,4.07
16 04 2018 04:50,4.19,234.4530029,159.5122112,98.27993774,,,4.19
16 04 2018 05:00,5.42,464.8529968,446.4652543,107.677803,,,5.42
16 04 2018 05:10,7.06,942.3709106,1045.003005,112.8410034,,,7.06
16 04 2018 05:20,5.97,668.3845215,613.9711432,108.6059036,,,5.97
16 04 2018 05:30,5.85,557.8009033,576.0142045,110.6062012,,,5.85
16 04 2018 05:40,5.57,473.4916992,488.3806819,113.6901016,,,5.57
16 04 2018 05:50,5.16,404.0317993,375.6522404,113.0871964,,,5.16
16 04 2018 06:00,5.48,436.6881104,462.6856992,120.9042969,,,5.48
16 04 2018 06:10,5.19,376.5252991,383.131358,121.952301,,,5.19
16 04 2018 06:20,4.91,280.4786987,313.0712524,121.8641968,,,4.91
16 04 2018 06:30,4.55,196.9172974,233.4701097,123.259903,,,4.55
16 04 2018 06:40,3.96,108.7706985,120.0958404,125.7423019,,,3.96
16 04 2018 06:50,5.39,381.3452148,437.0253925,133.7079926,,,5.39
16 04 2018 07:00,5.63,472.6456909,507.2323636,136.6914978,,,5.63
16 04 2018 07:10,6.34,558.5366821,743.1429832,129.5950012,,,6.34
16 04 2018 07:20,0,69.75808716,19.44478743,153.7843018,,,3.09
16 04 2018 07:30,0,0,0,173.1994934,,,1.72
16 04 2018 07:40,0,0,0,191.0839996,,,1.55
16 04 2018 07:50,0,0,0,140.6434021,,,2.15
16 04 2018 08:00,0,0,32.9464999,128.9712067,,,3.3
16 04 2018 08:10,3.57,0,59.90694901,131.8858948,,,3.57
16 04 2018 08:20,3.82,25.69791031,95.77044793,149.6315002,,,3.82
16 04 2018 08:30,0,22.38999939,44.3639905,137.8717041,,,3.43
16 04 2018 08:40,0,9.190500259,24.70652644,141.4604034,,,3.19
16 04 2018 08:50,0,7.456003189,0,138.1985931,,,2.9
16 04 2018 09:00,0,0,0,149.096405,,,1.84
16 04 2018 09:10,0,0,0,154.2897949,,,2.64
16 04 2018 09:20,0,0,0,126.5070038,,,2.75
16 04 2018 09:30,0,0,0,139.3426056,,,2.44
16 04 2018 09:40,0,0,33.2676528,156.0444031,,,3.31
16 04 2018 09:50,0,0,0,161.8701019,,,2.44
16 04 2018 10:00,0,0,0,147.7165985,,,2.27
16 04 2018 10:10,0,0,20.18559785,140.0012054,,,3.1
16 04 2018 10:20,0,0,25.04524981,158.0531006,,,3.19
16 04 2018 10:30,0,0,0,167.7151031,,,2.71
16 04 2018 10:40,3.63,0,68.36364513,140.4358063,,,3.63
16 04 2018 10:50,3.64,39.2713089,69.06992905,138.2064972,,,3.64
16 04 2018 11:00,3.54,44.41814041,56.3659586,138.5608978,,,3.54
16 04 2018 11:10,0,8.031737328,0,145.6349945,,,2.87
16 04 2018 11:20,0,0,0,160.7931061,,,2.66
16 04 2018 11:30,3.94,17.65189934,116.6483671,162.0110931,,,3.94
16 04 2018 11:40,0,0,0,162.0469055,,,2.62
16 04 2018 11:50,0,0,0,161.8419952,,,2.7
16 04 2018 12:00,0,0,0,161.3193054,,,2.69
16 04 2018 12:10,0,0,18.68599918,162.633606,,,3.07
16 04 2018 12:20,0,0,27.46835104,139.2870941,,,3.23
16 04 2018 12:30,0,37.1796608,48.92757908,142.9757996,,,3.47
16 04 2018 12:40,3.53,42.4825592,55.9290352,137.1723022,,,3.53
16 04 2018 12:50,0,19.34936905,0,144.3733978,,,2.89
16 04 2018 13:00,3.68,12.59510994,74.06958813,141.7510071,,,3.68
16 04 2018 13:10,0,0,0,144.3562927,,,2.14
16 04 2018 13:20,0,0,0,141.7360992,,,2.32
16 04 2018 13:30,0,0,0,125.677002,,,2.92
16 04 2018 13:40,0,0,37.53168122,105.8563004,,,3.36
16 04 2018 13:50,0,17.26358986,16.99663574,99.9162674,,,3.03
16 04 2018 14:00,4.05,85.91094208,132.3226058,109.7044983,,,4.05
16 04 2018 14:10,4.53,161.2442017,228.5399693,125.197403,,,4.53
16 04 2018 14:20,4.34,139.4436035,189.2429908,121.3749008,,,4.34
16 04 2018 14:30,0,22.85244942,0,132.2548065,,,2.98
16 04 2018 14:40,3.83,77.83293915,98.49054436,131.9120941,,,3.83
16 04 2018 14:50,4.22,131.3820038,164.480348,140.3847961,,,4.22
16 04 2018 15:00,4.69,205.9642944,262.382898,139.3206024,,,4.69
16 04 2018 15:10,4.63,177.5225983,250.6191089,139.1681061,,,4.63
16 04 2018 15:20,4.61,200.0924988,246.1248398,140.9871979,,,4.61
16 04 2018 15:30,5.22,291.7692871,392.9142187,137.3692932,,,5.22
16 04 2018 15:40,5.57,343.9432068,488.7069598,136.521698,,,5.57
16 04 2018 15:50,5.21,292.3764038,390.0324432,141.6103058,,,5.21
16 04 2018 16:00,5.1,262.2038879,360.1899169,142.9501953,,,5.1
16 04 2018 16:10,5.83,417.0284119,569.671985,142.2057953,,,5.83
16 04 2018 16:20,5.65,364.7033081,514.4325989,139.5122986,,,5.65
16 04 2018 16:30,5.16,254.2373962,376.9286604,138.0630035,,,5.16
16 04 2018 16:40,5.65,379.9241943,513.4240743,134.6593018,,,5.65
16 04 2018 16:50,5.68,386.9963989,523.0640766,133.5955963,,,5.68
16 04 2018 17:00,5.55,359.7804871,482.7725602,141.2142029,,,5.55
16 04 2018 17:10,5.73,414.4916077,537.9421651,144.0610962,,,5.73
16 04 2018 17:20,5.72,431.3106079,536.0683981,144.0693054,,,5.72
16 04 2018 17:30,5.76,454.2923889,548.1051143,145.3356018,,,5.76
16 04 2018 17:40,5.96,485.0820923,612.8896911,147.6761932,,,5.96
16 04 2018 17:50,6.15,539.2125854,674.6219198,148.5348053,,,6.15
16 04 2018 18:00,5.99,495.818512,619.9509838,149.6719971,,,5.99
16 04 2018 18:10,5.8,480.5852966,560.4588974,154.7225037,,,5.8
16 04 2018 18:20,6.09,523.1445923,655.1910488,157.118103,,,6.09
16 04 2018 18:30,6.1,536.0830078,659.693634,159.4515076,,,6.1
16 04 2018 18:40,6.27,563.1917114,718.3680318,163.5809021,,,6.27
16 04 2018 18:50,6.28,554.5404053,722.8489021,160.7138977,,,6.28
16 04 2018 19:00,6.79,641.4976807,924.1314116,154.4584961,,,6.79
16 04 2018 19:10,6.64,600.9456177,860.1282646,153.2140045,,,6.64
16 04 2018 19:20,6.37,572.2479858,756.5799036,158.8632965,,,6.37
16 04 2018 19:30,5.79,423.6578064,555.761857,160.4328003,,,5.79
16 04 2018 19:40,5.71,388.0686951,531.1233741,164.4004059,,,5.71
16 04 2018 19:50,6.01,486.5920105,627.9514038,161.5753021,,,6.01
16 04 2018 20:00,5.85,476.7701111,575.3312227,160.2012024,,,5.85
16 04 2018 20:10,4.34,168.6148071,188.6703057,162.2035065,,,4.34
16 04 2018 20:20,3.89,91.4271698,107.542691,159.5279999,,,3.89
16 04 2018 20:30,3.71,65.10677338,79.64688063,159.0140991,,,3.71
16 04 2018 20:40,0,8.648810387,25.80530277,170.8769989,,,3.2
16 04 2018 20:50,0,0,32.11067827,164.1623993,,,3.29
16 04 2018 21:00,0,0,25.48314451,152.7563019,,,3.2
16 04 2018 21:10,3.77,17.00708961,87.46715202,163.8162994,,,3.77
16 04 2018 21:20,3.86,83.0700531,103.3172902,156.460907,,,3.86
16 04 2018 21:30,0,32.05844116,25.55906598,142.3038025,,,3.2
16 04 2018 21:40,0,15.54039955,21.12225638,146.1607971,,,3.12
16 04 2018 21:50,0,0,0,132.3379059,,,2.36
16 04 2018 22:00,0,0,0,122.3426971,,,2.56
16 04 2018 22:10,0,0,0,144.655899,,,2.24
16 04 2018 22:20,0,0,0,149.1609039,,,2
16 04 2018 22:30,0,0,0,146.3898926,,,1.87
16 04 2018 22:40,0,0,0,120.6826019,,,2.91
16 04 2018 22:50,3.87,8.205264091,104.8208584,118.9997025,,,3.87
16 04 2018 23:00,3.77,71.58685303,87.54943191,113.9335022,,,3.77
16 04 2018 23:10,5,241.1887054,335.8797717,87.79276276,,,5
16 04 2018 23:20,0,72.78119659,40.61572213,88.27101135,,,3.39
16 04 2018 23:30,0,3.049401045,0,75.7545166,,,2.49
16 04 2018 23:40,0,0,0,61.17687988,,,1.31
16 04 2018 23:50,0,0,0,109.1475983,,,1
17 04 2018 00:00,0,0,0,93.45201874,,,2.32
17 04 2018 00:10,0,0,26.34249432,95.77868652,,,3.21
17 04 2018 00:20,3.61,23.25686073,65.82017418,98.22783661,,,3.61
17 04 2018 00:30,0,0,0,127.1838989,,,2.65
17 04 2018 00:40,0,0,0,167.8410034,,,2.16
17 04 2018 00:50,4.59,0,240.4173993,249.8029938,,,4.59
17 04 2018 01:00,5.99,430.3161926,620.4893777,234.1625977,,,5.99
17 04 2018 01:10,6.35,560.6400146,746.9178955,214.9945984,,,6.35
17 04 2018 01:20,5.81,422.3904114,562.4258311,209.7572021,,,5.81
17 04 2018 01:30,4.39,136.354599,199.3418941,199.2344971,,,4.39
17 04 2018 01:40,3.9,108.1396027,110.1594164,184.3771973,,,3.9
17 04 2018 01:50,4.52,180.4192963,227.155818,172.2068939,,,4.52
17 04 2018 02:00,5.35,350.2438049,425.5687196,164.100296,,,5.35
17 04 2018 02:10,4.83,212.2106934,295.8989579,162.2404022,,,4.83
17 04 2018 02:20,3.75,72.05947876,84.24245133,145.377594,,,3.75
17 04 2018 02:30,3.52,0,54.50259088,128.0384979,,,3.52
17 04 2018 02:40,5.52,189.1894073,474.0250071,172.7427979,,,5.52
17 04 2018 02:50,6.48,704.7045898,800.0412838,181.2333984,,,6.48
17 04 2018 03:00,6.66,667.1882935,868.5772886,175.841507,,,6.66
17 04 2018 03:10,5.97,528.1160278,615.9996348,169.5547943,,,5.97
17 04 2018 03:20,5.74,547.3804932,539.2428651,195.6652985,,,5.74
17 04 2018 03:30,6.31,643.8356934,735.410717,217.5843048,,,6.31
17 04 2018 03:40,7.26,907.4282227,1136.540177,215.6587067,,,7.26
17 04 2018 03:50,7.71,1076.025024,1366.542759,215.0312042,,,7.71
17 04 2018 04:00,7.77,1170.291016,1401.688506,217.6421967,,,7.77
17 04 2018 04:10,8.89,1668.822021,2075.032363,210.5278931,,,8.89
17 04 2018 04:20,9.09,1810.100952,2200.114497,209.3766937,,,9.09
17 04 2018 04:30,9.72,2074.664063,2608.256996,211.476593,,,9.72
17 04 2018 04:40,10.01,2227.741943,2795.498577,221.0063934,,,10.01
17 04 2018 04:50,9.35,1901.723999,2370.789523,224.2277069,,,9.35
17 04 2018 05:00,8.53,1331.792969,1847.20878,224.2982025,,,8.53
17 04 2018 05:10,7.82,0,1428.506796,227.1929016,,,7.82
17 04 2018 06:50,0,0,0,0,,,0
17 04 2018 07:00,3.62,0,66.03426768,0,,,3.62
17 04 2018 07:10,3.55,0,58.30373457,263.5974121,,,3.55
17 04 2018 07:20,0,0,16.34259451,221.6192017,,,3.01
17 04 2018 07:30,0,0,50.65948018,173.0110931,,,3.49
17 04 2018 07:40,3.91,16.72604942,110.585633,209.4082031,,,3.91
17 04 2018 07:50,0,0,0,239.589798,,,2.22
17 04 2018 08:00,0,0,0,221.8090973,,,1.41
17 04 2018 08:10,3.84,0,99.33334164,197.6620026,,,3.84
17 04 2018 08:20,3.81,48.17602158,94.88168983,182.9983063,,,3.81
17 04 2018 08:30,4.23,104.4264984,167.4682917,188.4420929,,,4.23
17 04 2018 08:40,0,42.65742111,41.54023337,214.463501,,,3.4
17 04 2018 08:50,0,0,0,209.759201,,,2.81
17 04 2018 09:00,0,7.796537876,48.34299699,232.9013062,,,3.47
17 04 2018 09:10,0,0,0,320.0481873,,,1.41
17 04 2018 09:20,0,0,0,149.4573975,,,2.09
17 04 2018 09:30,0,0,0,225.6127014,,,2.06
17 04 2018 09:40,0,0,0,134.371994,,,1.86
17 04 2018 09:50,3.58,0,61.36386274,134.8670044,,,3.58
17 04 2018 10:00,0,0,0,168.425293,,,1.67
17 04 2018 10:10,0,0,0,104.1568985,,,1.64
17 04 2018 10:20,3.5,0,51.95061523,79.94827271,,,3.5
17 04 2018 10:30,4.26,101.0007019,172.6426802,57.88203049,,,4.26
17 04 2018 10:40,4.89,210.5971985,309.5945185,53.5284996,,,4.89
17 04 2018 10:50,4.62,172.7684937,247.0530019,68.68910217,,,4.62
17 04 2018 11:00,4.77,193.165802,281.1026631,72.77471161,,,4.77
17 04 2018 11:10,0,19.58003044,16.90635716,93.34628296,,,3.03
17 04 2018 11:20,0,4.037464142,16.51780411,103.1190033,,,3.02
17 04 2018 11:30,4.41,173.8090057,203.8418139,83.5668869,,,4.41
17 04 2018 11:40,0,9.211072922,0,87.46903992,,,2.58
17 04 2018 11:50,0,36.67136002,0,103.5418015,,,2.91
17 04 2018 12:00,0,0,0,91.57792664,,,2.42
17 04 2018 12:10,0,0,0,93.24291992,,,2.38
17 04 2018 12:20,0,0,0,67.47116089,,,2.73
17 04 2018 12:30,0,0,0,71.50950623,,,2.14
17 04 2018 12:40,0,0,16.52156321,78.72376251,,,3.02
17 04 2018 12:50,0,0,0,72.20841217,,,2.91
17 04 2018 13:00,0,0,0,51.4491806,,,1.42
17 04 2018 13:10,0,0,0,318.5643005,,,1.12
17 04 2018 13:20,0,0,0,74.66335297,,,2.71
17 04 2018 13:30,0,0,0,103.4820023,,,2.14
17 04 2018 13:40,0,0,0,81.63622284,,,2.42
17 04 2018 13:50,0,0,0,90.17043304,,,2.92
17 04 2018 14:00,0,0,0,69.10640717,,,2.17
17 04 2018 14:10,0,0,42.32371486,45.57678986,,,3.41
17 04 2018 14:20,3.52,0,54.07110947,64.90846252,,,3.52
17 04 2018 14:30,0,0,37.34316625,58.8772316,,,3.35
17 04 2018 14:40,3.83,14.28940964,98.02967931,66.63194275,,,3.83
17 04 2018 14:50,4.18,95.09864044,158.0078724,68.15566254,,,4.18
17 04 2018 15:00,3.73,45.00252914,82.21671693,52.9620018,,,3.73
17 04 2018 15:10,4.45,133.0119934,212.2759033,68.83640289,,,4.45
17 04 2018 15:20,4.83,205.1392975,295.227294,61.12123871,,,4.83
17 04 2018 15:30,5.52,286.3085022,474.4738283,54.63552856,,,5.52
17 04 2018 15:40,5.52,337.3721924,473.932456,49.29653931,,,5.52
17 04 2018 15:50,5.71,378.0949097,530.0234383,56.03562927,,,5.71
17 04 2018 16:00,5.56,359.2887878,487.2273066,53.38983154,,,5.56
17 04 2018 16:10,5.64,358.2533875,511.2634645,50.280159,,,5.64
17 04 2018 16:20,5.76,393.9122925,547.4485814,52.5952301,,,5.76
17 04 2018 16:30,5.31,299.8164063,415.0075347,63.42794037,,,5.31
17 04 2018 16:40,5.43,292.2153015,449.144363,59.59642029,,,5.43
17 04 2018 16:50,5.19,239.0121002,383.5205703,59.65465927,,,5.19
17 04 2018 17:00,5.47,286.6289063,461.2078389,60.54066849,,,5.47
17 04 2018 17:10,6.08,0,652.8626986,70.56835175,,,6.08
17 04 2018 18:10,7.62,0,1318.742437,0,,,7.62
17 04 2018 18:20,7.43,0,1219.837814,0,,,7.43
17 04 2018 18:30,7.66,743.2996216,1339.56473,71.68035126,,,7.66
17 04 2018 18:40,7.32,895.3214111,1165.006139,71.21750641,,,7.32
17 04 2018 18:50,7.6,986.7680054,1308.292504,70.3008194,,,7.6
17 04 2018 19:00,7.28,930.6478882,1148.099981,71.44197083,,,7.28
17 04 2018 19:10,7.2,839.3505859,1109.813187,71.19164276,,,7.2
17 04 2018 19:20,7.06,782.3032837,1043.082291,69.05980682,,,7.06
17 04 2018 19:30,6.33,558.1066895,741.741151,66.16214752,,,6.33
17 04 2018 19:40,6.11,521.2952881,663.4442364,72.50147247,,,6.11
17 04 2018 19:50,6.3,584.3781738,730.5704382,77.56365967,,,6.3
17 04 2018 20:00,5.65,379.9017944,512.6340837,75.27474976,,,5.65
17 04 2018 20:10,4.69,178.9394073,262.4342364,65.56144714,,,4.69
17 04 2018 20:20,4.21,102.2638016,163.6472654,59.67430878,,,4.21
17 04 2018 20:30,4.11,73.11799622,142.9403984,52.19004059,,,4.11
17 04 2018 20:40,3.91,50.30091858,111.6436498,52.06805038,,,3.91
17 04 2018 20:50,3.87,59.65493011,103.8717705,54.74544144,,,3.87
17 04 2018 21:00,3.79,56.16070175,90.51085096,49.22602081,,,3.79
17 04 2018 21:10,0,18.55734062,29.05325873,47.26493073,,,3.25
17 04 2018 21:20,3.79,63.83396912,91.97669736,53.3572197,,,3.79
17 04 2018 21:30,3.99,82.88144684,125.6375883,62.60200119,,,3.99
17 04 2018 21:40,0,25.36734962,39.36336909,58.64971924,,,3.38
17 04 2018 21:50,0,1.91286695,0,56.7881813,,,2.85
17 04 2018 22:00,0,0,0,64.20243073,,,2.82
17 04 2018 22:10,0,0,0,53.76898956,,,2.77
17 04 2018 22:20,0,0,0,36.9408989,,,2.81
17 04 2018 22:30,0,0,18.04484284,22.3307209,,,3.06
17 04 2018 22:40,0,0,0,38.14062119,,,2.67
17 04 2018 22:50,0,0,0,38.20198059,,,2.54
17 04 2018 23:00,0,0,29.03630954,26.07933998,,,3.25
17 04 2018 23:10,3.88,0,105.7170544,25.13565063,,,3.88
17 04 2018 23:20,3.59,9.910199165,62.77211816,25.60269928,,,3.59
17 04 2018 23:30,0,0,48.87717249,22.46217918,,,3.47
17 04 2018 23:40,4.22,26.51197052,165.2839458,18.02494049,,,4.22
17 04 2018 23:50,4.18,56.77183151,156.3579241,26.37343025,,,4.18
18 04 2018 00:00,4.12,57.59027863,145.7707497,33.77632904,,,4.12
18 04 2018 00:10,4.26,91.65543365,172.6594973,40.66213989,,,4.26
18 04 2018 00:20,4.41,124.2121964,202.2470762,43.02146149,,,4.41
18 04 2018 00:30,4.1,146.7884979,142.1314156,49.29590988,,,4.1
18 04 2018 00:40,5.41,287.9146118,444.5508704,44.11507034,,,5.41
18 04 2018 00:50,5.48,312.5494995,462.4829083,40.76490021,,,5.48
18 04 2018 01:00,5.54,333.4689026,481.2045883,41.86597824,,,5.54
18 04 2018 01:10,5.43,342.0253906,450.2650592,43.11874008,,,5.43
18 04 2018 01:20,5.64,370.2553101,509.1886365,40.75173187,,,5.64
18 04 2018 01:30,5.69,370.7676086,526.2848576,39.51688004,,,5.69
18 04 2018 01:40,5.56,361.7825928,486.7777491,43.1348114,,,5.56
18 04 2018 01:50,5.37,315.5256042,432.180331,40.93568039,,,5.37
18 04 2018 02:00,5.38,327.4260864,433.8777698,43.55947113,,,5.38
18 04 2018 02:10,5.75,412.8215942,543.4160018,48.75294113,,,5.75
18 04 2018 02:20,6.14,524.2354736,670.6373729,50.99182892,,,6.14
18 04 2018 02:30,6.32,577.6339722,738.1343507,52.43503952,,,6.32
18 04 2018 02:40,6.55,690.7835083,827.4953157,51.39839172,,,6.55
18 04 2018 02:50,6.64,712.2493896,860.1858255,51.60165024,,,6.64
18 04 2018 03:00,6.77,795.5670776,917.2971033,50.30342102,,,6.77
18 04 2018 03:10,7,809.5137939,1017.204207,51.98439026,,,7
18 04 2018 03:20,6.82,794.4318848,935.5568059,50.97716141,,,6.82
18 04 2018 03:30,6.75,758.6218262,907.5278112,54.40370178,,,6.75
18 04 2018 03:40,6.55,698.0903931,827.0369873,57.57192993,,,6.55
18 04 2018 03:50,6.46,688.0305786,791.2450551,58.25156021,,,6.46
18 04 2018 04:00,6.64,749.1165161,860.6318546,56.93751907,,,6.64
18 04 2018 04:10,6.76,807.3770752,910.0003728,51.90703964,,,6.76
18 04 2018 04:20,7.14,1018.557007,1081.202928,50.14542007,,,7.14
18 04 2018 04:30,7.31,1115.344971,1161.945661,49.972229,,,7.31
18 04 2018 04:40,7.67,1251.863037,1349.3018,48.36943054,,,7.67
18 04 2018 04:50,7.95,1334.573975,1502.728868,49.50939941,,,7.95
18 04 2018 05:00,8.2,1297.58606,1645.530614,50.36648178,,,8.2
18 04 2018 05:10,7.92,1293.44104,1486.701641,51.45640945,,,7.92
18 04 2018 05:20,8,1255.737061,1532.104378,52.34283829,,,8
18 04 2018 05:30,7.85,1095.573975,1445.733684,54.67136002,,,7.85
18 04 2018 05:40,7.63,974.6906128,1324.55657,55.2634697,,,7.63
18 04 2018 05:50,7.55,953.6102295,1283.022778,55.04475021,,,7.55
18 04 2018 06:00,7.52,928.8713989,1269.838459,53.55595016,,,7.52
18 04 2018 06:10,7.02,747.7827759,1024.515912,57.4285202,,,7.02
18 04 2018 06:20,6.65,660.5629272,866.039694,57.41954041,,,6.65
18 04 2018 06:30,6.4,587.3004761,766.0857255,58.83996964,,,6.4
18 04 2018 06:40,6.79,708.7252197,924.712488,57.64123917,,,6.79
18 04 2018 06:50,7.25,798.0866699,1131.712657,55.59236145,,,7.25
18 04 2018 07:00,7.37,855.0496216,1193.638512,54.17102051,,,7.37
18 04 2018 07:10,7.54,959.1644897,1278.544097,49.39664078,,,7.54
18 04 2018 07:20,7.42,876.4412231,1214.750112,49.06444168,,,7.42
18 04 2018 07:30,7.22,851.175415,1117.938863,52.16194916,,,7.22
18 04 2018 07:40,6.33,545.8679199,740.4230522,54.19955826,,,6.33
18 04 2018 07:50,6.49,577.5560303,802.0029056,59.62968063,,,6.49
18 04 2018 08:00,6.53,628.0924072,816.9222969,61.16669846,,,6.53
18 04 2018 08:10,6.29,523.281189,724.9824122,62.46147156,,,6.29
18 04 2018 08:20,5.92,389.6669006,599.1698376,56.99925995,,,5.92
18 04 2018 08:30,5.47,274.4090881,460.088994,55.94335175,,,5.47
18 04 2018 08:40,5.25,249.9391937,400.0761329,55.03376007,,,5.25
18 04 2018 08:50,4.82,184.7315063,293.1938502,55.63523102,,,4.82
18 04 2018 09:00,4.53,141.6674042,228.0946495,54.82117081,,,4.53
